name	media type	episode count	dates aired	rating	url
Koukaku Kidoutai Arise: Another Mission	Special	1	2013-06-04 00:00:00	6.64	https://myanimelist.net/anime/18989/Koukaku_Kidoutai_Arise__Another_Mission
Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain	Movie	1	2013-06-22 00:00:00	7.53	https://myanimelist.net/anime/17187/Koukaku_Kidoutai_Arise__Ghost_in_the_Shell_-_Border_1_Ghost_Pain
Shingeki no Kyojin: Ano Hi Kara	Special	1	2013-07-07 00:00:00	7.06	https://myanimelist.net/anime/19285/Shingeki_no_Kyojin__Ano_Hi_Kara
Shingeki no Kyojin Picture Drama	Special	9	2013-07-17 00:00:00	6.70	https://myanimelist.net/anime/19391/Shingeki_no_Kyojin_Picture_Drama
Koukaku Kidoutai: Arise - Logicoma Specials	Special	4	2013-07-26 00:00:00	6.36	https://myanimelist.net/anime/21575/Koukaku_Kidoutai__Arise_-_Logicoma_Specials
Koukaku Kidoutai Arise [.jp]	Special	1	2013-11-14 00:00:00	6.52	https://myanimelist.net/anime/29255/Koukaku_Kidoutai_Arise_jp
Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers	Movie	1	2013-11-30 00:00:00	7.58	https://myanimelist.net/anime/19191/Koukaku_Kidoutai_Arise__Ghost_in_the_Shell_-_Border_2_Ghost_Whispers
Shingeki no Kyojin OVA	OVA	3	2013-12-09 00:00:00	7.88	https://myanimelist.net/anime/18397/Shingeki_no_Kyojin_OVA
Channel 5.5 Prologue: Shin Bangumi Start!	ONA	1	2014	5.38	https://myanimelist.net/anime/29860/Channel_55_Prologue__Shin_Bangumi_Start
Koukaku Kidoutai Nyuumon Arise	TV	26	2014-01-07 00:00:00	7.09	https://myanimelist.net/anime/22013/Koukaku_Kidoutai_Nyuumon_Arise
Channel 5.5	ONA	4	2014-01-28 00:00:00	5.57	https://myanimelist.net/anime/29821/Channel_55
Kindaichi Shounen no Jikenbo Returns	TV	25	2014-04-05 00:00:00	7.59	https://myanimelist.net/anime/22817/Kindaichi_Shounen_no_Jikenbo_Returns
Channel 5.5 2nd Season	ONA	4	2014-04-14 00:00:00	5.36	https://myanimelist.net/anime/29822/Channel_55_2nd_Season
