name	media type	episode count	dates aired	rating
One Piece: Kinkyuu Kikaku One Piece Kanzen Kouryakuhou	Special	1	1999-12-22 00:00:00	7.28
Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie	Movie	1	1999-12-23 00:00:00	7.19
Detective Conan OVA 01: Conan vs. Kid vs. Yaiba	OVA	1	2000	7.31
One Piece Movie 1	Movie	1	2000-03-04 00:00:00	7.19
Time Bokan 2000: Kaitou Kiramekiman	TV	26	2000-04-05 00:00:00	6.14
Detective Conan Movie 04: Captured in Her Eyes	Movie	1	2000-04-22 00:00:00	8.13
Amon: Devilman Mokushiroku	OVA	1	2000-05-24 00:00:00	6.54
Detective Conan: The Internet - The Mysterious E-mail Case	OVA	1	2000-06-23 00:00:00	6.82
Lupin III: $1 Money Wars	Special	1	2000-07-28 00:00:00	7.25
InuYasha	TV	167	2000-10-16 00:00:00	7.91
One Piece: Umi no Heso no Daibouken-hen	Special	1	2000-12-20 00:00:00	7.36
Shin Getter Robo tai Neo Getter Robo	OVA	4	2000-12-21 00:00:00	7.15
Dynamic Super Robots Soushingekki	Special	3	2000-12-21 00:00:00	6.55
One Piece Movie 2: Nejimaki-jima no Daibouken	Movie	1	2001-03-03 00:00:00	7.26
One Piece: Jango no Dance Carnival	Movie	1	2001-03-03 00:00:00	7.26
Detective Conan Movie 05: Countdown to Heaven	Movie	1	2001-04-21 00:00:00	8.22
Detective Conan: A Written Challenge from the Pyramids!	OVA	1	2001-06-22 00:00:00	6.95
Kinnikuman II Sei: Second Generations	Movie	1	2001-07-14 00:00:00	6.55
Tetsuwan Atom: Chikyuu Saigo no Hi	Movie	1	2001-07-20 00:00:00	6.07
Lupin III: Alcatraz Connection	Special	1	2001-08-03 00:00:00	7.18
Mazinkaiser	OVA	7	2001-09-25 00:00:00	7.41
Cyborg 009: The Cyborg Soldier	TV	52	2001-10-14 00:00:00	7.34
Detective Conan: Chase the Mysterious Comet Monster!	OVA	1	2001-11-09 00:00:00	6.63
Yobarete Tobidete Akubi-chan	TV	26	2001-12-11 00:00:00	6.02
InuYasha Movie 01: Toki wo Koeru Omoi	Movie	1	2001-12-22 00:00:00	7.67
Detective Conan OVA 02: 16 Suspects	OVA	1	2002	7.39
Kinnikuman II Sei	TV	51	2002-01-09 00:00:00	6.96
One Piece Movie 3: Chinjuu-jima no Chopper Oukoku	Movie	1	2002-03-02 00:00:00	7.10
One Piece: Yume no Soccer Ou!	Movie	1	2002-03-02 00:00:00	7.26
Lupin III: Ikiteita Majutsushi	OVA	1	2002-04-03 00:00:00	6.17
Detective Conan Movie 06: The Phantom of Baker Street	Movie	1	2002-04-20 00:00:00	8.39
Kinnikuman II Sei: Muscle Ninjin Soudatsu sen! Choujin Daisensou	Movie	1	2002-07-20 00:00:00	6.83
Lupin III: Episode 0 "First Contact"	Special	1	2002-07-26 00:00:00	7.71
Maou Dante	TV	13	2002-08-31 00:00:00	6.18
Naruto	TV	220	2002-10-03 00:00:00	7.92
InuYasha Movie 02: Kagami no Naka no Mugenjo	Movie	1	2002-12-21 00:00:00	7.74
Kyutai Panic Adventure!	Special	1	2003	4.85
Detective Conan OVA 03: Conan and Heiji and the Vanished Boy	OVA	1	2003	7.28
One Piece Movie 4: Dead End no Bouken	Movie	1	2003-03-01 00:00:00	7.68
Astro Boy: Tetsuwan Atom	TV	50	2003-04-06 00:00:00	7.03
Tetsuwan Atom: Atom Tanjou no Himitsu	Movie	1	2003-04-06 00:00:00	6.27
One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!	Special	1	2003-04-06 00:00:00	7.36
Detective Conan Movie 07: Crossroad in the Ancient Capital	Movie	1	2003-04-19 00:00:00	7.93
Naruto: Akaki Yotsuba no Clover wo Sagase	Special	1	2003-05-24 00:00:00	6.56
Detective Conan: City Exploration! Get the Animal Mark!	OVA	1	2003-06-20 00:00:00	6.85
Mazinkaiser: Shitou! Ankoku Dai Shogun	OVA	1	2003-07-25 00:00:00	7.27
Lupin III: Otakara Henkyaku Daisakusen!!	Special	1	2003-08-01 00:00:00	7.46
Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou	Movie	1	2003-09-13 00:00:00	6.28
Bobobo-bo Bo-bobo	TV	76	2003-11-08 00:00:00	7.57
One Piece: Mamore! Saigo no Dai Butai	Special	1	2003-12-14 00:00:00	7.43
Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie 2: UFO Shuurai! Tornado Daisakusen	Movie	1	2003-12-20 00:00:00	6.96
